id,name,type,start_time,finish_time,event_date,st_envelope
7,Mathematical Sciences,beliefs,11,13,"May 22, 2019",0103000020E61000000100000005000000D51F065F3D885CC066063B0F388A4940D51F065F3D885CC06743FE99418A4940A0BE0A9524885CC06743FE99418A4940A0BE0A9524885CC066063B0F388A4940D51F065F3D885CC066063B0F388A4940
13,MacKimmie Tower,arts,9,11,"May 15, 2019",0103000020E61000000100000005000000D7AAB8CC44885CC092AC6818E3894940D7AAB8CC44885CC066101FD8F1894940B91803EB38885CC066101FD8F1894940B91803EB38885CC092AC6818E3894940D7AAB8CC44885CC092AC6818E3894940
16,Olympic Oval,beliefs,17,19,"May 29, 2019",0103000020E610000001000000050000003EF262BCC1885CC07A6F0C01C08949403EF262BCC1885CC0C9C3E7F3F6894940AB5D13D29A885CC0C9C3E7F3F6894940AB5D13D29A885CC07A6F0C01C08949403EF262BCC1885CC07A6F0C01C0894940
17,Murray Fraser Hall,social,11,13,"June 10, 2019",0103000020E610000001000000050000007A9D1E2540885CC0062FFA0AD28949407A9D1E2540885CC03CB0D293E88949407C3084F730885CC03CB0D293E88949407C3084F730885CC0062FFA0AD28949407A9D1E2540885CC0062FFA0AD2894940
33,Safeway,social,11,13,"May 6, 2019",0103000020E610000001000000050000001547D4FA117F5CC02CC71AE4E48649401547D4FA117F5CC03106D671FC864940C46EE9E2007F5CC03106D671FC864940C46EE9E2007F5CC02CC71AE4E48649401547D4FA117F5CC02CC71AE4E4864940
36,Supply Chain Management Regional Distribution Centre,social,18,20,"May 24, 2019",0103000020E61000000100000005000000737C597F707F5CC02463B5F97F8B4940737C597F707F5CC029B4ACFBC78B49400DED52D9E67E5CC029B4ACFBC78B49400DED52D9E67E5CC02463B5F97F8B4940737C597F707F5CC02463B5F97F8B4940
73,JOEY Crowfoot,dance,15,17,"May 26, 2019",0103000020E610000001000000050000004B6EB99FF88C5CC0EF91CD55F38F49404B6EB99FF88C5CC01F532DD8FC8F494049B5F40DF18C5CC01F532DD8FC8F494049B5F40DF18C5CC0EF91CD55F38F49404B6EB99FF88C5CC0EF91CD55F38F4940
27,Repsol Sport Centre,dance,11,13,"May 23, 2019",0103000020E610000001000000050000001BE5AAC31B845CC02C09F599588449401BE5AAC31B845CC047DD730580844940A0C37C7901845CC047DD730580844940A0C37C7901845CC02C09F599588449401BE5AAC31B845CC02C09F59958844940
34,Home Depot,arts,18,20,"May 13, 2019",0103000020E61000000100000005000000A1061DBE167F5CC0E17F2BD9B1864940A1061DBE167F5CC035400EEFDE864940CBD53494FF7E5CC035400EEFDE864940CBD53494FF7E5CC0E17F2BD9B1864940A1061DBE167F5CC0E17F2BD9B1864940
24,Father David Bauer Olympic Arena,arts,8,10,"May 16, 2019",0103000020E61000000100000005000000C4C59B4624885CC07A81A32E63894940C4C59B4624885CC07719598D80894940E2EFCD250B885CC07719598D80894940E2EFCD250B885CC07A81A32E63894940C4C59B4624885CC07A81A32E63894940
69,Shell,beliefs,8,10,"June 22, 2019",0103000020E610000001000000050000004EF79562A28C5CC032225168599049404EF79562A28C5CC04A6D9857649049402A7A96D6958C5CC04A6D9857649049402A7A96D6958C5CC032225168599049404EF79562A28C5CC03222516859904940
71,Boston Pizza,social,17,19,"May 13, 2019",0103000020E61000000100000005000000BE929A2CA48C5CC0805479F134904940BE929A2CA48C5CC099A5F8533E904940AACA08B99C8C5CC099A5F8533E904940AACA08B99C8C5CC0805479F134904940BE929A2CA48C5CC0805479F134904940
55,Lowe's Home Improvement,beliefs,18,20,"June 1, 2019",0103000020E610000001000000050000006982F2881B8D5CC0378710FC149049406982F2881B8D5CC0E1606F624890494007921C55F28C5CC0E1606F624890494007921C55F28C5CC0378710FC149049406982F2881B8D5CC0378710FC14904940
62,Schanks,arts,17,19,"June 24, 2019",0103000020E61000000100000005000000A1A17F820B8D5CC0449B2D6A41904940A1A17F820B8D5CC00512B98553904940F0D12C1AFC8C5CC00512B98553904940F0D12C1AFC8C5CC0449B2D6A41904940A1A17F820B8D5CC0449B2D6A41904940
83,CIBC,beliefs,14,16,"June 16, 2019",0103000020E61000000100000005000000EFFBDC75DB865CC05E752ED681884940EFFBDC75DB865CC0E3C4573B8A8849401D401AA9D2865CC0E3C4573B8A8849401D401AA9D2865CC05E752ED681884940EFFBDC75DB865CC05E752ED681884940
159,Real Canadian Superstore,beliefs,16,18,"June 8, 2019",0103000020E61000000100000005000000469561DC0D7F5CC04B332779BF884940469561DC0D7F5CC05C887A66EE884940F562CD6DE77E5CC05C887A66EE884940F562CD6DE77E5CC04B332779BF884940469561DC0D7F5CC04B332779BF884940
86,MacKimmie Link,arts,10,12,"June 8, 2019",0103000020E6100000010000000500000005C4245C48885CC0CF499462EC89494005C4245C48885CC0BC57AD4CF8894940BC1C1B263F885CC0BC57AD4CF8894940BC1C1B263F885CC0CF499462EC89494005C4245C48885CC0CF499462EC894940
87,Clayton Carroll Automotive Centre,arts,11,13,"May 27, 2019",0103000020E610000001000000050000000DFCA886FD855CC0DEFD96A5428849400DFCA886FD855CC00CEFCDCA518849409588A6A2E7855CC00CEFCDCA518849409588A6A2E7855CC0DEFD96A5428849400DFCA886FD855CC0DEFD96A542884940
110,Kerby Hall,dance,13,15,"June 26, 2019",0103000020E61000000100000005000000ECBE63786C885CC0A6C28EB575814940ECBE63786C885CC0E9256B798A814940CA7BE6F65C885CC0E9256B798A814940CA7BE6F65C885CC0A6C28EB575814940ECBE63786C885CC0A6C28EB575814940
345,Alpek Machine Works Inc,arts,10,12,"May 24, 2019",0103000020E610000001000000050000007D810F142E7F5CC018F3CEFCC57D49407D810F142E7F5CC0B27B97F7DD7D4940CB187A1F227F5CC0B27B97F7DD7D4940CB187A1F227F5CC018F3CEFCC57D49407D810F142E7F5CC018F3CEFCC57D4940
405,Chinook Centre West Parkade,social,10,12,"June 17, 2019",0103000020E610000001000000050000000B934EC9DE845CC06726BD14C37F49400B934EC9DE845CC0C69C0C33D97F494091C2AB9BC1845CC0C69C0C33D97F494091C2AB9BC1845CC06726BD14C37F49400B934EC9DE845CC06726BD14C37F4940
420,2500-2590 61 Ave SE,social,16,18,"June 8, 2019",0103000020E61000000100000005000000D415C7DC10805CC089F43691F47F4940D415C7DC10805CC00DB8F8252C8049406D63A2F7FC7F5CC00DB8F8252C8049406D63A2F7FC7F5CC089F43691F47F4940D415C7DC10805CC089F43691F47F4940
421,2600-2680 61 Ave SE,arts,9,11,"June 19, 2019",0103000020E61000000100000005000000AE354A4DF17F5CC066C86768F27F4940AE354A4DF17F5CC0185FB4C70B804940A1BFD023C67F5CC0185FB4C70B804940A1BFD023C67F5CC066C86768F27F4940AE354A4DF17F5CC066C86768F27F4940
447,Mac's,dance,16,18,"June 10, 2019",0103000020E61000000100000005000000C408E1D1C68C5CC0FC299F2F07904940C408E1D1C68C5CC0659A9FD10C9049401A47F652C28C5CC0659A9FD10C9049401A47F652C28C5CC0FC299F2F07904940C408E1D1C68C5CC0FC299F2F07904940
448,Calgary Co-op Gas Bar,dance,17,19,"May 4, 2019",0103000020E61000000100000005000000E564E256C18C5CC016C50666E08F4940E564E256C18C5CC0DC4B755CE88F4940EE258DD1BA8C5CC0DC4B755CE88F4940EE258DD1BA8C5CC016C50666E08F4940E564E256C18C5CC016C50666E08F4940
