id,name,type,start_time,finish_time,event_date,st_envelope
27,Repsol Sport Centre,dance,11,13,"May 23, 2019",0103000020E610000001000000050000001BE5AAC31B845CC02C09F599588449401BE5AAC31B845CC047DD730580844940A0C37C7901845CC047DD730580844940A0C37C7901845CC02C09F599588449401BE5AAC31B845CC02C09F59958844940
28,Big Four Building,health_wellness,18,20,"June 26, 2019",0103000020E610000001000000050000005620C4DFC0835CC0756C4E6F908449405620C4DFC0835CC0A2ABBE04B88449407291D673AD835CC0A2ABBE04B88449407291D673AD835CC0756C4E6F908449405620C4DFC0835CC0756C4E6F90844940
85,Safeway Sunnyside,health_wellness,14,16,"June 10, 2019",0103000020E610000001000000050000004F33EE177D855CC00F9656E8288749404F33EE177D855CC03C25315239874940282268716B855CC03C25315239874940282268716B855CC00F9656E8288749404F33EE177D855CC00F9656E828874940
511,Calgary Tower,beliefs,9,11,"June 14, 2019",0103000020E6100000010000000500000069519FE40E845CC0F8D2252DA685494069519FE40E845CC0BDA94885B1854940331587D805845CC0BDA94885B1854940331587D805845CC0F8D2252DA685494069519FE40E845CC0F8D2252DA6854940
738,Dragon City Mall,outdoor_adventure,14,16,"June 32, 2019",0103000020E61000000100000005000000836852AF00845CC06B3986B652864940836852AF00845CC0C417377F5D864940484A1F5FE7835CC0C417377F5D864940484A1F5FE7835CC06B3986B652864940836852AF00845CC06B3986B652864940
688,Calgary Municipal Building,fashion_beauty,17,19,"June 20, 2019",0103000020E61000000100000005000000BDDAF6E2B0835CC0F762DE99BF854940BDDAF6E2B0835CC0E7AB3F1DEA8549408042E2C391835CC0E7AB3F1DEA8549408042E2C391835CC0F762DE99BF854940BDDAF6E2B0835CC0F762DE99BF854940
740,Eau Claire Market,sport_fitness,8,10,"June 27, 2019",0103000020E61000000100000005000000B67757876D845CC00A3E1757A6864940B67757876D845CC0AEEF6888CF86494046A5225F53845CC0AEEF6888CF86494046A5225F53845CC00A3E1757A6864940B67757876D845CC00A3E1757A6864940
832,Washrooms Stampede Park,outdoor_adventure,15,17,"May 15, 2019",0103000020E61000000100000005000000E67BA1DBA6835CC06473D53C47844940E67BA1DBA6835CC0303B7AB251844940068D4FB7A2835CC0303B7AB251844940068D4FB7A2835CC06473D53C47844940E67BA1DBA6835CC06473D53C47844940
842,Agriculture Building,fashion_beauty,13,15,"May 16, 2019",0103000020E6100000010000000500000049319B5B7C835CC0DD0720B58984494049319B5B7C835CC0EAF81EE4AB844940924A671657835CC0EAF81EE4AB844940924A671657835CC0DD0720B58984494049319B5B7C835CC0DD0720B589844940
850,Rotary House,pets,10,12,"May 12, 2019",0103000020E6100000010000000500000028942AF6BC835CC0B857E6ADBA84494028942AF6BC835CC0AE9003C0C28449403757282DB7835CC0AE9003C0C28449403757282DB7835CC0B857E6ADBA84494028942AF6BC835CC0B857E6ADBA844940
851,Coca-Cola Stage,learning,14,16,"May 1, 2019",0103000020E610000001000000050000009C16BCE8AB835CC0C8D34DBDC98449409C16BCE8AB835CC08A332B80CE844940EB4C463AA8835CC08A332B80CE844940EB4C463AA8835CC0C8D34DBDC98449409C16BCE8AB835CC0C8D34DBDC9844940
854,Eastern Block,pets,17,19,"June 16, 2019",0103000020E61000000100000005000000D2AB014AC3835CC0CBC232912D854940D2AB014AC3835CC073BA2C2636854940A44ADE4AC0835CC073BA2C2636854940A44ADE4AC0835CC0CBC232912D854940D2AB014AC3835CC0CBC232912D854940
857,Louise Block,fashion_beauty,9,11,"May 23, 2019",0103000020E61000000100000005000000FAD6E2AEB9835CC0F95B4C7D6A854940FAD6E2AEB9835CC0C4DB398375854940DA8EA9BBB2835CC0C4DB398375854940DA8EA9BBB2835CC0F95B4C7D6A854940FAD6E2AEB9835CC0F95B4C7D6A854940
860,Ribtor West,outdoor_adventure,16,18,"June 20, 2019",0103000020E61000000100000005000000A8966368AB835CC0C4BE53B769854940A8966368AB835CC0E813799274854940D1D84DDFA1835CC0E813799274854940D1D84DDFA1835CC0C4BE53B769854940A8966368AB835CC0C4BE53B769854940
862,Flamingo Block,dance,12,14,"May 22, 2019",0103000020E61000000100000005000000E1A58A98C8835CC0E4FAD23659854940E1A58A98C8835CC0B47977BF65854940FA97A432C5835CC0B47977BF65854940FA97A432C5835CC0E4FAD23659854940E1A58A98C8835CC0E4FAD23659854940
864,Pilkington Building,outdoor_adventure,18,20,"May 3, 2019",0103000020E610000001000000050000007497C45991835CC0C5C48B2A688549407497C45991835CC01209F027748549409CD3765D89835CC01209F027748549409CD3765D89835CC0C5C48B2A688549407497C45991835CC0C5C48B2A68854940
865,The Brownstones,pets,14,16,"May 28, 2019",0103000020E61000000100000005000000AC9B4132D3835CC0091A33897A854940AC9B4132D3835CC0AAD8F3908485494060048D99C4835CC0AAD8F3908485494060048D99C4835CC0091A33897A854940AC9B4132D3835CC0091A33897A854940
866,Demcor Building,health_wellness,13,15,"May 19, 2019",0103000020E6100000010000000500000038D66AB4C1835CC0F7C8E6AA7985494038D66AB4C1835CC08DABDBEA838549408DE3D1D7BD835CC08DABDBEA838549408DE3D1D7BD835CC0F7C8E6AA7985494038D66AB4C1835CC0F7C8E6AA79854940
867,Bell Block,fashion_beauty,17,19,"June 27, 2019",0103000020E61000000100000005000000247035FCB8835CC0FED30D1478854940247035FCB8835CC0BD2F78E28385494044DD0720B5835CC0BD2F78E28385494044DD0720B5835CC0FED30D1478854940247035FCB8835CC0FED30D1478854940
868,Alberta Trade Centre,learning,9,11,"May 18, 2019",0103000020E61000000100000005000000993A7E5EA7835CC01CBFA6BD77854940993A7E5EA7835CC0CA8745B18185494063635E479C835CC0CA8745B18185494063635E479C835CC01CBFA6BD77854940993A7E5EA7835CC01CBFA6BD77854940
871,Allstream,sport_fitness,14,16,"June 32, 2019",0103000020E61000000100000005000000BA38E0A9B6835CC05AD9999DA0854940BA38E0A9B6835CC0302F1BF8AC854940E9F2E670AD835CC0302F1BF8AC854940E9F2E670AD835CC05AD9999DA0854940BA38E0A9B6835CC05AD9999DA0854940
872,Edward's Place,arts,10,12,"May 27, 2019",0103000020E61000000100000005000000D32C75359E835CC0FE0868C7B2854940D32C75359E835CC0107DD2E4BD85494094C2BCC799835CC0107DD2E4BD85494094C2BCC799835CC0FE0868C7B2854940D32C75359E835CC0FE0868C7B2854940
873,Burns Building,health_wellness,9,11,"June 24, 2019",0103000020E6100000010000000500000079F06EC0C2835CC0E54DD944C185494079F06EC0C2835CC0BB61DBA2CC854940B8CA1308BB835CC0BB61DBA2CC854940B8CA1308BB835CC0E54DD944C185494079F06EC0C2835CC0E54DD944C1854940
874,Calgary City Hall,outdoor_adventure,10,12,"June 25, 2019",0103000020E61000000100000005000000E759A4E4B0835CC0F87D4974E0854940E759A4E4B0835CC04D158C4AEA8549403FDB0F1DA7835CC04D158C4AEA8549403FDB0F1DA7835CC0F87D4974E0854940E759A4E4B0835CC0F87D4974E0854940
875,Bow Valley College - North Campus,tech,15,17,"May 21, 2019",0103000020E6100000010000000500000025DDE055A0835CC0D9E66B3B1286494025DDE055A0835CC06A6391CB24864940E683544090835CC06A6391CB24864940E683544090835CC0D9E66B3B1286494025DDE055A0835CC0D9E66B3B12864940
