id,name,type,start_time,finish_time,event_date,st_envelope
2140,Oakwood Manor,health_wellness,11,13,"May 9, 2019",0103000020E6100000010000000500000008E6E8F1FB845CC011EFEF220285494008E6E8F1FB845CC05FAF55270C85494087A3AB74F7845CC05FAF55270C85494087A3AB74F7845CC011EFEF220285494008E6E8F1FB845CC011EFEF2202854940
2142,College Lane Plaza,music,9,11,"May 25, 2019",0103000020E61000000100000005000000D72A6629FE845CC084317D0ADB844940D72A6629FE845CC0F3114251EA844940F1C3F7B4F9845CC0F3114251EA844940F1C3F7B4F9845CC084317D0ADB844940D72A6629FE845CC084317D0ADB844940
2146,The Pillars,social,10,12,"June 5, 2019",0103000020E61000000100000005000000E9DD0EC3FD845CC0A7131AD2F2844940E9DD0EC3FD845CC0CE041E73F9844940BD9F64BCF7845CC0CE041E73F9844940BD9F64BCF7845CC0A7131AD2F2844940E9DD0EC3FD845CC0A7131AD2F2844940
3360,Lincoln Towers,sport_fitness,15,17,"June 14, 2019",0103000020E610000001000000050000002507EC6AF2845CC0D415C7DC108549402507EC6AF2845CC065A318C517854940E643ABEEEC845CC065A318C517854940E643ABEEEC845CC0D415C7DC108549402507EC6AF2845CC0D415C7DC10854940
6814,5/5,food_drink,16,18,"May 6, 2019",0103000020E61000000100000005000000D6FAC7E7BA845CC0B0027CB779854940D6FAC7E7BA845CC09E584C1185854940F7CF2E3AB4845CC09E584C1185854940F7CF2E3AB4845CC0B0027CB779854940D6FAC7E7BA845CC0B0027CB779854940
6815,The Hudson,music,16,18,"May 29, 2019",0103000020E61000000100000005000000A68D3402BB845CC0D365D6F786854940A68D3402BB845CC0C117CB9992854940D9B3E732B5845CC0C117CB9992854940D9B3E732B5845CC0D365D6F786854940A68D3402BB845CC0D365D6F786854940
6837,The Lorraine Block,music,12,14,"June 1, 2019",0103000020E61000000100000005000000A5BB90B3D5845CC0ADDBA0F65B854940A5BB90B3D5845CC0AD54AB0A688549401E1BDC31D0845CC0AD54AB0A688549401E1BDC31D0845CC0ADDBA0F65B854940A5BB90B3D5845CC0ADDBA0F65B854940
6844,Parkside Place,fashion_beauty,12,14,"June 27, 2019",0103000020E610000001000000050000003D997FF4CD845CC08A05BEA25B8549403D997FF4CD845CC0DD96C80567854940672CF587C1845CC0DD96C80567854940672CF587C1845CC08A05BEA25B8549403D997FF4CD845CC08A05BEA25B854940
11794,Lynnbrooke Manor,outdoor_adventure,18,20,"June 6, 2019",0103000020E610000001000000050000001C672ECB32855CC0186A0366748449401C672ECB32855CC06778584D7C84494066E6B8092D855CC06778584D7C84494066E6B8092D855CC0186A0366748449401C672ECB32855CC0186A036674844940
12006,York House,beliefs,14,16,"May 13, 2019",0103000020E61000000100000005000000317A6EA12B855CC07AC4E8B985844940317A6EA12B855CC053EA92718C8449401221640F23855CC053EA92718C8449401221640F23855CC07AC4E8B985844940317A6EA12B855CC07AC4E8B985844940
12734,Altadore School,health_wellness,14,16,"May 20, 2019",0103000020E6100000010000000500000083E96AE168865CC0299DFEA2BA81494083E96AE168865CC0BB75487BCD81494072C3EFA65B865CC0BB75487BCD81494072C3EFA65B865CC0299DFEA2BA81494083E96AE168865CC0299DFEA2BA814940
12923,Rundle Academy Elementary,dance,18,20,"June 11, 2019",0103000020E6100000010000000500000019879FA465865CC01574D602D681494019879FA465865CC0F579D67FE7814940D894D00259865CC0F579D67FE7814940D894D00259865CC01574D602D681494019879FA465865CC01574D602D6814940
13507,The Hull Estates,social,18,20,"May 19, 2019",0103000020E610000001000000050000001A14724AE5845CC0EC472F0F3E8549401A14724AE5845CC0BD732843558549407BC674D7C8845CC0BD732843558549407BC674D7C8845CC0EC472F0F3E8549401A14724AE5845CC0EC472F0F3E854940
