id,name,type,start_time,finish_time,event_date,st_envelope,date_number
83,CIBC,beliefs,14,16,"June 16, 2019",0103000020E61000000100000005000000EFFBDC75DB865CC05E752ED681884940EFFBDC75DB865CC0E3C4573B8A8849401D401AA9D2865CC0E3C4573B8A8849401D401AA9D2865CC05E752ED681884940EFFBDC75DB865CC05E752ED681884940,47
405,Chinook Centre West Parkade,social,10,12,"June 17, 2019",0103000020E610000001000000050000000B934EC9DE845CC06726BD14C37F49400B934EC9DE845CC0C69C0C33D97F494091C2AB9BC1845CC0C69C0C33D97F494091C2AB9BC1845CC06726BD14C37F49400B934EC9DE845CC06726BD14C37F4940,48
458,Hillhurst Sunnyside Community Association,social,8,10,"June 24, 2019",0103000020E61000000100000005000000A5A54D30F7855CC0A62325E252874940A5A54D30F7855CC03802A72D6487494042CF66D5E7855CC03802A72D6487494042CF66D5E7855CC0A62325E252874940A5A54D30F7855CC0A62325E252874940,55
511,Calgary Tower,beliefs,9,11,"June 14, 2019",0103000020E6100000010000000500000069519FE40E845CC0F8D2252DA685494069519FE40E845CC0BDA94885B1854940331587D805845CC0BDA94885B1854940331587D805845CC0F8D2252DA685494069519FE40E845CC0F8D2252DA6854940,45
937,Peters' Drive-In,beliefs,18,20,"June 28, 2019",0103000020E61000000100000005000000476B56C7BB835CC04BFECCC584884940476B56C7BB835CC0DEF3B2DC8888494067DE605EB6835CC0DEF3B2DC8888494067DE605EB6835CC04BFECCC584884940476B56C7BB835CC04BFECCC584884940,59
1020,Stampede Corral,social,8,10,"June 15, 2019",0103000020E610000001000000050000004AB6BA9C92835CC0B7D5AC33BE8449404AB6BA9C92835CC0CAE2FE23D3844940E84427F073835CC0CAE2FE23D3844940E84427F073835CC0B7D5AC33BE8449404AB6BA9C92835CC0B7D5AC33BE844940,46
1152,Opulence Centre,dance,15,17,"June 22, 2019",0103000020E610000001000000050000005C3233D8F9835CC0D54EDE115F8649405C3233D8F9835CC01D8E53196B864940D1C0D9F7F2835CC01D8E53196B864940D1C0D9F7F2835CC0D54EDE115F8649405C3233D8F9835CC0D54EDE115F864940,53
1266,Kingston Tower,arts,12,14,"June 28, 2019",0103000020E61000000100000005000000461F98488E845CC0E5B67D8FFA844940461F98488E845CC06B6E3B230085494014F6A39787845CC06B6E3B230085494014F6A39787845CC0E5B67D8FFA844940461F98488E845CC0E5B67D8FFA844940,59
1219,Chartwell Eau Claire,social,9,11,"June 32, 2019",0103000020E610000001000000050000005A8B057415855CC0BA87DFA8708649405A8B057415855CC01A0F5B1F7B864940900B186E0A855CC01A0F5B1F7B864940900B186E0A855CC0BA87DFA8708649405A8B057415855CC0BA87DFA870864940,63
1354,Edinburgh Place,beliefs,16,18,"June 30, 2019",0103000020E61000000100000005000000130B7C4537855CC0B093556C27864940130B7C4537855CC0C3AB9B41328649400927B38B33855CC0C3AB9B41328649400927B38B33855CC0B093556C27864940130B7C4537855CC0B093556C27864940,61
2253,Roslyn Building,arts,9,11,"June 29, 2019",0103000020E610000001000000050000007887CA7589845CC0B263C8563C8649407887CA7589845CC08E4EA786478649404DDFC6C180845CC08E4EA786478649404DDFC6C180845CC0B263C8563C8649407887CA7589845CC0B263C8563C864940,60
2259,Centrium Place,dance,18,20,"June 24, 2019",0103000020E610000001000000050000006114A9D57C845CC0C84274081C8649406114A9D57C845CC039B9DFA1288649400D3BE70272845CC039B9DFA1288649400D3BE70272845CC0C84274081C8649406114A9D57C845CC0C84274081C864940,55
2274,Bow Parkade - Impark Lot 232,dance,16,18,"June 19, 2019",0103000020E61000000100000005000000275591C055845CC06E10525CFA854940275591C055845CC0FCA2A943138649400BCF4BC546845CC0FCA2A943138649400BCF4BC546845CC06E10525CFA854940275591C055845CC06E10525CFA854940,50
2247,Calgary Place,social,11,13,"June 12, 2019",0103000020E6100000010000000500000008E9842B7B845CC06A1327F73B86494008E9842B7B845CC0DC508C87528649404C4E925360845CC0DC508C87528649404C4E925360845CC06A1327F73B86494008E9842B7B845CC06A1327F73B864940,43
2322,8 West,dance,15,17,"June 24, 2019",0103000020E6100000010000000500000086EFB3803F855CC0C1131F44D785494086EFB3803F855CC08CC11E6EE2854940BA21D79736855CC08CC11E6EE2854940BA21D79736855CC0C1131F44D785494086EFB3803F855CC0C1131F44D7854940,55
2323,First on Tenth,arts,16,18,"June 27, 2019",0103000020E61000000100000005000000CD9AB3991E845CC03B71395E81854940CD9AB3991E845CC0670B08AD87854940529CA38E0E845CC0670B08AD87854940529CA38E0E845CC03B71395E81854940CD9AB3991E845CC03B71395E81854940,58
2345,TransAlta Place II,beliefs,17,19,"June 30, 2019",0103000020E61000000100000005000000294014CC18845CC0539B937252854940294014CC18845CC0A1E52FE35C854940E69A5D5210845CC0A1E52FE35C854940E69A5D5210845CC0539B937252854940294014CC18845CC0539B937252854940,61
2312,Ford Tower,beliefs,18,20,"June 11, 2019",0103000020E610000001000000050000000EAB2E96D8845CC04BF03CA70F8649400EAB2E96D8845CC09F2523C21A864940A18092A7D1845CC09F2523C21A864940A18092A7D1845CC04BF03CA70F8649400EAB2E96D8845CC04BF03CA70F864940,42
2313,Britannia Building,beliefs,17,19,"June 22, 2019",0103000020E6100000010000000500000015A86A27EF845CC0A4A597BD1186494015A86A27EF845CC00F37F11F1C864940809D9B36E3845CC00F37F11F1C864940809D9B36E3845CC0A4A597BD1186494015A86A27EF845CC0A4A597BD11864940,53
2470,Clennan Square,beliefs,18,20,"June 22, 2019",0103000020E610000001000000050000004D08670124845CC0B905A62E748549404D08670124845CC0251301987C854940CB15399F15845CC0251301987C854940CB15399F15845CC0B905A62E748549404D08670124845CC0B905A62E74854940,53
2475,Centennial Parkade (CPA zone 9054),social,12,14,"June 22, 2019",0103000020E6100000010000000500000016C50666E0845CC0C6E63E94C385494016C50666E0845CC0E91B87B0D0854940167F25A1BE845CC0E91B87B0D0854940167F25A1BE845CC0C6E63E94C385494016C50666E0845CC0C6E63E94C3854940,53
2501,Uptown Place,social,12,14,"June 18, 2019",0103000020E610000001000000050000005382B4B574855CC02FA0BC34EA8449405382B4B574855CC0B52968A4EF844940CDC75AE86F855CC0B52968A4EF844940CDC75AE86F855CC02FA0BC34EA8449405382B4B574855CC02FA0BC34EA844940,49
2626,Jimmy Condon Building,arts,12,14,"June 11, 2019",0103000020E610000001000000050000000B557B2219865CC0D272A087DA8449400B557B2219865CC09908C0E4EB8449409D13D62112865CC09908C0E4EB8449409D13D62112865CC0D272A087DA8449400B557B2219865CC0D272A087DA844940,42
2636,Aull Block,dance,10,12,"June 20, 2019",0103000020E610000001000000050000006A3E9DE13C825CC0C4A92050478549406A3E9DE13C825CC021E868554B8549403C985EAC39825CC021E868554B8549403C985EAC39825CC0C4A92050478549406A3E9DE13C825CC0C4A9205047854940,51
2637,Burn Block,social,13,15,"June 13, 2019",0103000020E610000001000000050000001D684F1347825CC0EAB4C93C4D8549401D684F1347825CC03BE3FBE252854940D2DF4BE141825CC03BE3FBE252854940D2DF4BE141825CC0EAB4C93C4D8549401D684F1347825CC0EAB4C93C4D854940,44
2721,Boston Pizza,arts,9,11,"June 21, 2019",0103000020E6100000010000000500000024D0059A74875CC0215DC7139C88494024D0059A74875CC07023658BA4884940FDD8C9856F875CC07023658BA4884940FDD8C9856F875CC0215DC7139C88494024D0059A74875CC0215DC7139C884940,52
2723,Travelodge Calgary University,social,14,16,"June 21, 2019",0103000020E61000000100000005000000D66542DD51875CC0E3D98AA2AC884940D66542DD51875CC0F355F2B1BB8849408E791D7148875CC0F355F2B1BB8849408E791D7148875CC0E3D98AA2AC884940D66542DD51875CC0E3D98AA2AC884940,52
2783,Calgary Public Building,beliefs,11,13,"June 19, 2019",0103000020E610000001000000050000005FD9603CDE835CC025654117C38549405FD9603CDE835CC0BA5BA32FCE854940A0C211A4D2835CC0BA5BA32FCE854940A0C211A4D2835CC025654117C38549405FD9603CDE835CC025654117C3854940,50
3223,Centre Street,beliefs,8,10,"June 18, 2019",0103000020E61000000100000005000000A0D7E95102845CC0033D79FDEE854940A0D7E95102845CC0427CBB80F2854940D175E107E7835CC0427CBB80F2854940D175E107E7835CC0033D79FDEE854940A0D7E95102845CC0033D79FDEE854940,49
3226,Aldred Centre,arts,18,20,"June 16, 2019",0103000020E61000000100000005000000349B6CA8BD855CC0CA1F67F569884940349B6CA8BD855CC013EDCFEA89884940CA3D135097855CC013EDCFEA89884940CA3D135097855CC0CA1F67F569884940349B6CA8BD855CC0CA1F67F569884940,47
3233,Centennial Place - West Tower,social,12,14,"June 17, 2019",0103000020E61000000100000005000000C324010FB1845CC07C2C7DE882864940C324010FB1845CC0C0E380029486494092EDD7F8A7845CC0C0E380029486494092EDD7F8A7845CC07C2C7DE882864940C324010FB1845CC07C2C7DE882864940,48
3271,Sunalta,social,13,15,"June 20, 2019",0103000020E610000001000000050000002B1213D470865CC0DCBD37E1B98549402B1213D470865CC0ECE86E8DBE854940DAA040E955865CC0ECE86E8DBE854940DAA040E955865CC0DCBD37E1B98549402B1213D470865CC0DCBD37E1B9854940,51
3299,8 Street SW,arts,14,16,"June 17, 2019",0103000020E6100000010000000500000054EB58002E855CC08F4A56EAFE85494054EB58002E855CC01C97715303864940BEF90D130D855CC01C97715303864940BEF90D130D855CC08F4A56EAFE85494054EB58002E855CC08F4A56EAFE854940,48
4536,Balbi & Company Legal Centre,social,18,20,"June 22, 2019",0103000020E6100000010000000500000094258458C7835CC01FFFBBF4E584494094258458C7835CC05F58A3C3E88449404EE152DFC3835CC05F58A3C3E88449404EE152DFC3835CC01FFFBBF4E584494094258458C7835CC01FFFBBF4E5844940,53
4751,Mount Royal Place,arts,17,19,"June 30, 2019",0103000020E61000000100000005000000496359D537855CC07F3F468A12854940496359D537855CC0CDE506431D8549404C39BAA530855CC0CDE506431D8549404C39BAA530855CC07F3F468A12854940496359D537855CC07F3F468A12854940,61
4753,Emerald Stone,dance,16,18,"June 17, 2019",0103000020E61000000100000005000000A207E34C38855CC09FFFC30204854940A207E34C38855CC039E16FC50F8549409BB1C3F32D855CC039E16FC50F8549409BB1C3F32D855CC09FFFC30204854940A207E34C38855CC09FFFC30204854940,48
5304,Boyce Theatre,beliefs,8,10,"June 17, 2019",0103000020E610000001000000050000004DA3247F8B835CC04D65F61ED38449404DA3247F8B835CC0B96C1915DD844940DF52CE177B835CC0B96C1915DD844940DF52CE177B835CC04D65F61ED38449404DA3247F8B835CC04D65F61ED3844940,48
6044,640 Fifth,arts,9,11,"June 15, 2019",0103000020E6100000010000000500000043458B22DA845CC0F6CFD3804186494043458B22DA845CC0A3DAF1704C864940A8BF03A8CE845CC0A3DAF1704C864940A8BF03A8CE845CC0F6CFD3804186494043458B22DA845CC0F6CFD38041864940,46
1151,Calgary Chinese Cultural Centre,arts,14,16,"June 18, 2019",0103000020E61000000100000005000000737511F035845CC04583143C85864940737511F035845CC0AA6EE4709C8649402BE510CC2C845CC0AA6EE4709C8649402BE510CC2C845CC04583143C85864940737511F035845CC04583143C85864940,49
6096,Stratton Oaks,arts,17,19,"June 11, 2019",0103000020E610000001000000050000003263C0481E855CC0CD678A4A348549403263C0481E855CC07280AA1B39854940C4639A4418855CC07280AA1B39854940C4639A4418855CC0CD678A4A348549403263C0481E855CC0CD678A4A34854940,42
6262,Venator Building,arts,14,16,"June 20, 2019",0103000020E61000000100000005000000A3ACDF4C4C845CC072F49D04DB854940A3ACDF4C4C845CC0D7A8E221E7854940658D7A8846845CC0D7A8E221E7854940658D7A8846845CC072F49D04DB854940A3ACDF4C4C845CC072F49D04DB854940,51
6282,Calgary Drop-In & Rehab Centre,beliefs,17,19,"June 30, 2019",0103000020E61000000100000005000000088AC4A97B835CC0BEFD14223B864940088AC4A97B835CC0A17D5127458649400747246566835CC0A17D5127458649400747246566835CC0BEFD14223B864940088AC4A97B835CC0BEFD14223B864940,61
6407,106A 10 Street NW,beliefs,16,18,"June 17, 2019",0103000020E61000000100000005000000C04AF4E87C855CC03F822C55B3864940C04AF4E87C855CC086425FD5B4864940453BB88578855CC086425FD5B4864940453BB88578855CC03F822C55B3864940C04AF4E87C855CC03F822C55B3864940,48
7365,Royal View Apartment,social,10,12,"June 16, 2019",0103000020E6100000010000000500000096C50E74FE855CC019E9A0A6F184494096C50E74FE855CC02ECBD765F8844940051E73F9EA855CC02ECBD765F8844940051E73F9EA855CC019E9A0A6F184494096C50E74FE855CC019E9A0A6F1844940,47
7371,Brenton Manor,arts,11,13,"June 18, 2019",0103000020E61000000100000005000000447463D5FB855CC03DDD2F551F854940447463D5FB855CC07B5281EE268549400494E1D3F7855CC07B5281EE268549400494E1D3F7855CC03DDD2F551F854940447463D5FB855CC03DDD2F551F854940,49
